Component,GrantView_id,Grant Name,Grant Number,Grant Abstract,Grant Type,Grant Theme Name,Grant Institution Name,Grant Institution Alias,Grant Investigator,Grant Consortium Name,Grant Start Date,Grant End Date,NIH RePORTER Link,Duration of Funding,Embargo End Date,Grant Synapse Team,Grant Synapse Project,Id,entityId
GrantView,CA243007,Optimal control models of epithelial-mesenchymal transition for the design of pancreas cancer combination therapy,CA243007,"Pancreatic ductal adenocarcinoma (PDAC) is a highly lethal and common cancer, with an overall five-year survival rate of 6%. Among the factors contributing to this dismal statistic is the observation that epithelial- derived PDAC cells, sometimes in direct response to therapy, can de-differentiate to a mesenchymal state in which they are more chemoresistant. This observation prompts the question: should epithelial-mesenchymal transition (EMT) be targeted to promote therapeutic response and increase patient survival? The main barrier to exploring this idea is that we do not know how to target EMT precisely, especially in light of the complex multivariate cell signaling dynamics that drive EMT and maintain it as a feedback response to chemotherapy. We recently undertook a preliminary study to identify a group of druggable cell signaling pathways that may cooperatively drive the mesenchymal state in PDAC. However, the translational potential of our current analysis is limited in that it merely identified potential targets; it does not provide any systematic actionable understanding, nor testable predictions, of how best to schedule combinations of drugs in time to maximize therapeutic efficacy and minimize unintended toxicity. Consequently, we now seek to extend our preliminary studies to develop a systems biology platform for the systematic determination of scheduled combination therapy approaches for PDAC designed to maximally suppress EMT during treatment. In Aim 1, we will make dynamic measurements of signaling pathway activity and cell phenotypes in PDAC cells treated with drivers of EMT, antagonists of EMT, and chemotherapeutics. Our measurements will cover those pathways already identified in our preliminary work as the most likely druggable regulators of EMT, and will include the effects of hypoxia and cancer-associated fibroblasts, elements of the tumor microenvironment that may impact EMT regulation. The goal is to obtain an information-rich data set to be used subsequently for model identification and control computations. In Aim 2, we will use the dynamic data to develop the computational platform for determining optimal changes to the drivers and antagonists required to achieve maximal suppression of EMT, to be implemented as scheduled combination therapies for PDAC. This will be accomplished through: (i) identification of a dynamic model for epithelial or mesenchymal cell state determination in response to phosphoprotein perturbations (i.e., quantitative characterization, in the form of a computational model, the EMT response to changes in its drivers and antagonists) and (ii) deploying the model “in reverse” to determine, via optimal control principles, how best to combine and schedule drugs for optimal maintenance of the epithelial phenotype. In Aim 3, we will test the model-based schedules for combination therapy in a sequence of in vitro and in vivo experiments. Ultimately, these studies will provide pre-clinical validation for a new strategy to develop therapeutic regimens that target a pathological process in PDAC that limits therapeutic response. New approaches are urgently needed, as PDAC survival rates have not changed in nearly 40 years.",U01,Drug Resistance/Sensitivity,"University of Delaware, University of Pennsylvania, University of Virginia","UD, UPenn, UVA",Matthew J. Lazzara,CSBC,8/1/19,7/31/24,https://reporter.nih.gov/search/M81CyLBp20u86Xhb3LOT0g/projects,4,,https://www.synapse.org/#!Team:3471075,https://www.synapse.org/#!Synapse:syn21619432,52bc8d6c-61fb-4225-a312-e0961f9fdf6c,syn53259587
GrantView,CA243072,Towards rational design of combination therapeutic targets,CA243072,"Given the prevalence of crosstalk among oncogenic pathways and disease heterogeneity, it has become increasingly apparent that combination therapies are required to achieve long-term cure and to minimize development of resistance mutations and escape pathways. The majority of existing combination therapies are developed in an ad hoc fashion, namely one agent at a time, without systematic consideration of potential complex interactions among the gene targets by leveraging disease-specific omics data. Moreover, the existing combination therapies are based on targets of existing drugs, which only represent a small portion of the human proteome. To this end, we hypothesize that systematic identification of synergistic key regulators represents a promising approach for nominating targets of combination therapy. Towards this goal, we will forward engineer a platform for identifying synergistic regulatory nodes in a cancer gene regulatory network as the targets for combination therapy. We will generate disease-specific multi-omics data to construct an integrative gene regulatory network, a pre-requisite for understanding the deregulated gene network in the cancer cells and for developing effective and lasting therapy. We will focus our study on Philadelphia-like acute lymphoblastic leukemia as a proof-of-principle. Our team proposes a novel approach to this problem by leveraging the unique strengths of the investigators in systems biology, genomics, proteomics, and translational research, as well as the large cohort of patient samples available at our institutions. If successful, the proposed framework would be a tremendous advance and paradigm shift to understand genetic interactions among oncogenic pathways for eventual therapeutic intervention.",U01,Drug Resistance/Sensitivity,Childrens Hospital of Philadelphia,CHOP,"Kai Tan, Sarah Tasian",CSBC,6/1/20,5/31/25,https://reporter.nih.gov/search/_dyEYjvKWU2y11Z674WYxA/projects,4,,https://www.synapse.org/#!Team:3471128,https://www.synapse.org/#!Synapse:syn22117059,2291730f-8f6e-4f8e-936d-867eb535e12d,syn53259587
GrantView,CA243073,Single-cell characterization of tumor and microenvironment coevolution in Peripheral T-cell Lymphomas,CA243073,"Tumor and microenvironment constitute complex ecologies involving a multitude of stromal cells, immune cells, and in some cases coexisting microbes. A paradigmatic example of complex tumor-microenvironment interactions are peripheral T-cell lymphomas, aggressive and genetically complex tumors where tumor cells often constitute a minority cell population. Peripheral T-cell lymphomas are frequently associated with the presence of Epstein-Barr virus whose role in the disease remains largely uncharacterized. We have shown that the presence of specific macrophage populations and viral transcriptional programs are associated to survival. But, how do tumor and microenvironment coevolve and inform prognosis? Our project goal is to characterize the tumor- microenvironment interactions and coevolution in peripheral T-cell lymphomas using large collections of human transcriptomic data and longitudinal single-cell sequencing data from recently developed mouse models. We will develop an approach based on random matrix theory and topological data analysis for modelling the continuous aspect of tumor microenvironment evolution. We will further deploy our lab-developed methodology for in silico pathogen detection to study the interactions between the Epstein-Barr virus and peripheral T-cell lymphoma lymphomagenesis and progression. Successful completion of our goals will provide a general, experimentally validated strategy to uncover the dynamical nature of tumor-microenvironment interactions at the single-cell resolution in tumor types with complex stromal component. Additionally, our approach will help uncover new microenvironment driven targets supporting lymphoma cell growth, with potential therapeutic implications for the treatment of this deadly disease.",U01,"Heterogeneity, Evolution",Columbia University,Columbia,"Raul Rabadan, Teresa Palomero",CSBC,8/21/19,7/31/24,https://reporter.nih.gov/search/xjm8oxEB7k-S-rWcK1y-Rw/projects,4,,https://www.synapse.org/#!Team:3471077,https://www.synapse.org/#!Synapse:syn21619773,396866e9-b4db-4827-b7e1-cb002d492ac9,syn53259587
GrantView,CA243075,Multiscale computational models for predicting optimum immune checkpoint and targeted therapy schedules,CA243075,"The overall objective of our U01 project is to use mathematical modeling, driven with data extracted from novel cellular quantification experimental technologies, in order to inform the organization of combination immune checkpoint and fibroblast growth factor receptor-3 (FGFR3) inhibitor therapy. Our platform is capable of gathering information on two distinct mechanisms of anti-tumor cytotoxicity by T cells, and of transferring this information into our computationally-intense mathematical models. This project integrates live-cell interaction analysis, spatial evaluation of single-cell level quantitative multiplex immunohistochemistry, and multi-scale mathematical modeling of spatiotemporal tumor dynamics to improve patient outcomes via computationally designed immunotherapy and targeted treatment.",U01,Drug Resistance/Sensitivity,"University of Michigan, University of Chicago Medical Center","UMichigan, UCMC","Trachette Jackson, Alexander Pearson, Randy Sweis",CSBC,5/1/20,4/30/25,https://reporter.nih.gov/search/PO1j-KiU8UqOl9M_mwDtYg/projects,4,,https://www.synapse.org/#!Team:3471129,https://www.synapse.org/#!Synapse:syn22117060,ba329362-72e7-495f-965c-8cf09ff31e95,syn53259587
GrantView,CA244100,Predict radiation-induced shifts in patient-specific tumor immune ecosystem composition to harness immunological consequences of radiotherapy,CA244100,"Tumor-associated antigens, stress proteins, and danger-associated molecular patterns are endogenous immune adjuvants that can both initiate and continually stimulate an immune response against a tumor. In retaliation, tumors can hijack intrinsic immune regulatory programs, thereby facilitating continued growth despite an activated antitumor immune response. Clinically apparent tumors have co-evolved with the patient’s immune system and form a complex Tumor-Immune EcoSystem (TIES). The success of radiotherapy (RT) may be the result of radiation shifting the relative proportions of tumor and immune cells such that surviving cancer cells are subject to elimination by the immune system. However, current RT fractionation has not specifically focused on enhancing immune responses, nor has immune cell infiltration into the tumor as biomarker been considered to predict treatment response. We hypothesize that patients with a TIES such that radiation debulks the tumor and induces a robust immune response may be cured. A TIES with weak antitumor-immunity or strong immune suppression may not be sufficiently perturbed by current RT dose fractionation to fully harness radiation-immune synergy and provide tumor control. The goal of the project is to combine experimental studies and clinical data to calibrate and rigorously validate the in silico framework that simulates the influence of different TIES compositions on the response to different radiation doses and dose fractionations. We will focus on oropharyngeal cancer, one of the few cancer types increasing in incidence. In vivo tumors with and without tumor specific T cells provide radiation dose and fractionation-dependent changes in immune infiltration to derive in silico model parameters. For clinical analysis we will use a retrospective cohort of 51 oropharyngeal cancer (OPC) tissue samples as training cohort. We will prospectively collect radiosensitivity and immune infiltration data from 105 OPC patients that undergo radiation therapy with different total doses, dependent on their intrinsic radiosensitivity index (RSI). These data serve as a test cohort to validate model outcome predictions against clinical assessment of complete response at 3 months. Our overall aims are to determine radiation dose and fractionation that optimize radiation-induced immunity, and to identify how to use RT to shift a patient-specific TIES toward immune-modulated tumor elimination. These aims will motivate profound changes to how we conceive of and clinically prescribe RT. Radiation could be understood as immunotherapy. For patients with unfavorable TIES, RT fractionation protocols should focus on the radical perturbation of the TIES toward immune-modulated tumor control. For favorable TIES, dose could be de-escalated with focus on immune activation. Integrating our interdisciplinary expertise allows us to predict RT response and guide decision-making for individual patients, which holds the promise of leading to better outcomes. Successful project completion motivates an in silico model framework-aided clinical trial.",U01,"Tumor-Immune, Drug Resistance/Sensitivity",Moffitt Cancer Center,Moffitt,"Heiko Enderling, Shari Pilon-Thomas",PS-ON,3/1/20,2/28/25,https://reporter.nih.gov/search/QLmjEyVp6Ui293gF2zZp0A/projects,4,,https://www.synapse.org/#!Team:3471114,https://www.synapse.org/#!Synapse:syn22115099,c60dc368-017d-4610-94b8-f9b9dfe90439,syn53259587
GrantView,CA244101,Defining bone ecosystem effects on metastatic prostate cancer evolution and treatment response using an integrated mathematical modeling approach,CA244101,"Bone metastatic prostate cancer (mPCa) is currently an incurable disease. While standard of care treatments (androgen deprivation therapy-ADT, chemotherapy) are initially effective, this heterogeneous disease often evolves to become resistant, thus representing a major clinical challenge. Our group also demonstrates that the bone ecosystem contributes to the emergence of resistant mPCa but how the ecosystem in turn, impacts the efficacy of standard of care treatment represents a major gap in our knowledge. Biology driven mathematical models offer a novel and effective means with which to address these complex issues since cancer evolution and bone ecosystem responses to applied therapies can be rapidly tested, optimized for efficacy to delay the onset of resistant disease, and subsequently, validated experimentally. Using empirical data, we will generate an agent-based mathematical model to describe the interactions of heterogeneous mPCa cells with the surrounding bone microenvironment. In silico, we will test the effect of standard of care treatments ADT (Lupron) and chemotherapy (docetaxel) on the growth of cancer over time. The model can identify the impact of these treatments on mPCa cells but also the role of other bone cell types such as, mesenchymal stromal cells (MSCs) in disease progression. Based on this rationale, we hypothesize that experimentally powered HCAs can be used to dissect the bone ecosystem effects on mPCa evolution and optimize treatment strategies so as to prevent the emergence of resistant disease. To test this hypothesis, we propose three interdisciplinary aims. In Aim 1, human prostate cancer cell line (VCaP and LAPC4) growth parameters will power a hybrid cellular automaton (HCA) agent-based mathematical model of heterogeneous mPCa in bone. The response of the model to standard of care therapy (ADT and or docetaxel) will be studied and results validated in vivo. In Aim 2, we will explore the role of the bone ecosystem, specifically MSCs, in controlling the emergence of resistance to standard of care treatments. Human data will be used to assess the clinical applicability of the eco-evolutionary HCA. In Aim 3, evolutionary algorithms (EA) will be used to guide the adaptive application of standard of care therapy. Our innovative studies will; 1) generate a robust mathematical eco-evolutionary model of bone mPCa that can be used to dissect the role of the bone microenvironment in the emergence of resistance, 2) identify the effects of standard of care therapies on heterogeneous cancer cells and the bone ecosystem and, 3) allow for the rapid determination of optimized adaptive therapies that take into account the contributions of the bone ecosystem. We believe the proposed studies will significantly impact the way treatments are applied to men diagnosed with bone mPCa and ultimately improve their overall survival.",U01,"Microenvironment, Metastasis, Heterogeneity, Evolution",Moffitt Cancer Center,Moffitt,"Conor Lynch, David Basanta",PS-ON,6/11/20,5/31/25,https://reporter.nih.gov/search/izZ5FSZRIEu9sXOjP9QfYg/projects,4,,https://www.synapse.org/#!Team:3471113,https://www.synapse.org/#!Synapse:syn22115288,9546f43d-9c8d-4784-8dd4-4fbbcbb429f9,syn53259587
GrantView,CA244107,Biophysical roles of pre-metastatic niche evolution on transport of circulating tumor cells,CA244107,"Exploring the earliest events that promote circulating tumor cells (CTCs) to immobilize on blood vessel walls at future metastatic sites will expose new targets for rational prevention. Studies suggest that distant microenvironments are primed and ready to entrap CTCs, creating a pre-metastatic niche for initiating metastasis. In addition to biological mechanisms, the physical transport of CTC in blood vessels and biophysical interaction of CTC with the pre-metastatic niche can be regarded as key determinants of metastatic potential. Whereas biological effects of circulating platelet (PLT) on CTCs and PLT accumulating to primary and metastatic tumors to support tumor growth and invasion are known, the roles of PLT in the initiation and development of the pre-metastatic niche and biophysical effects of the PLT on transport of CTCs in blood vessels have not been reported.Our objective is to elucidate and validate biophysical roles of the pre-metastatic niche initiated with PLT in the future metastatic site on CTC transport. We integrate orthotopic mouse tumor models using cell lines with different metastatic potentials, novel microfluidics pre-coated with or without PLT, and multiscale/multi-physics computational transport models. Our hypotheses are: 1) there is an organ- and time-dependent initiation/evolution of the pre-metastatic niche, wherein deposited and activated PLT on vessel walls in mice bearing primary tumors alters hydrodynamics of CTCs and their interactions; 2) only the pre-metastatic niche, which is sufficiently developed to significantly alter these biophysical parameters, promotes immobilization of CTCs on vessel walls; and 3) modulation of PLT functionality by anti-PLT reagents affects biophysical roles of PLTs on CTC transport and the prospect of metastasis. The multiscale/multi-physics transport modeling provides optimized parameterization of metastasis based on experimental results in vitro and in vivo to characterize transport phenomena of CTCs and phenotype pre-metastatic niches. The significance of this study will establish a scientific framework for understanding undiscovered biophysical roles of the pre-metastatic niche initiated with PLTs on transport of CTCs for rational prevention of metastasis using anti-PLT reagents.",U01,"Metastasis, Microenvironment","Houston Methodist, Weill Cornell Medicine, University of Washington","Houston Methodist, WCM, UW","Kenji Yokoi, Lidong Qin, Milos Kojic",PS-ON,2/15/20,1/31/25,https://reporter.nih.gov/search/ZdQWQAEDF02BzrcGwvWc4A/projects,4,,https://www.synapse.org/#!Team:3471112,https://www.synapse.org/#!Synapse:syn22115132,5ca0d6a1-ce27-498e-9107-c6b7164b17c1,syn53259587
GrantView,CA244109,Understanding breast cancer progression as a defect in the mechanics of tissue self-organization,CA244109,"A progressive breakdown in the bilayered structure of the mammary epithelium is the hallmark of all breast cancers, but the structural change that occurs between ductal carcinoma in situ (DCIS) and invasive ductal carcinoma (IDC) is of particular importance because it represents a major inflection point in risk for patients. Breast cancers originate in the inner luminal layer of the mammary epithelium, where transformed luminal epithelial cells (LEP) proliferate to fill the ducts and lobules in DCIS. Surprisingly, LEP in DCIS have acquired all the necessary genetic aberrations to invade, but remain constrained within the tissue by an intact outer myoepithelial (MEP) layer—a group of cells that forms a dynamic barrier blocking access of the in situ tumor to the basement membrane (BM, the specialized extracellular matrix (ECM) that surrounds the mammary epithelium).Translocation of transformed LEP past the MEP layer has been proposed as the rate-limiting step in progression to IDC. Here, we aim to identify the physical and molecular changes that must occur in LEP to facilitate this structural transition. We approach this challenge through the lens of mammary epithelial self-organization. We hypothesize the existence of a rate-limiting structural intermediate during the progression of DCIS to IDC, where LEP translocate into the MEP layer, next to the BM. We propose a statistical mechanical framework for understanding how perturbations to the mechanics and dynamics of tumor cells facilitate the formation of this intermediate and propose to test this concept using complementary in vitro and in vivo experimental systems: using organoids reconstituted from human reduction mammoplasty tissues and genetically engineered mouse models.Our long-term goal is to reveal the changes that promote and inhibit progression from DCIS to IDC. Better physical and molecular predictors of progression would benefit DCIS patients who would otherwise be over-treated, as only a third of DCIS cases progress to IDC. Further, blocking LEP translocation would represent a therapeutic strategy to prevent breast cancer progression.",U01,"Heterogeneity, Microenvironment","University of California; San Francisco, City Of Hope, California Institute of Technology","UCSF, COH, Caltech","Zev Gartner, Matt Thomson, Mark Labarge, Andrei Goga",PS-ON,5/1/20,4/30/25,https://reporter.nih.gov/search/XMQwN8Rma0yicpXmqAvtmw/projects,4,,https://www.synapse.org/#!Team:3471115,https://www.synapse.org/#!Synapse:syn22115260,ddea8a9b-54b1-45b8-9a93-af2757d4170d,syn53259587
GrantView,CA245313,Ex vivo analysis of human brain tumor cells in a microvascular niche model,CA245313,"The perivascular niche (PVN) in human brain tumors is an important microenvironment for the maintenance of brain tumor stem-like cells (BTSCs), the development of resistance to chemo or targeted therapies, and the path for tumor cells to invade distant regions in the whole brain, leading to incurable diseases. Current in vitro models such as 2D cell cultures or 3D tumoroids do not contain this niche environment. Mouse models of brain tumors can recapitulate some aspects of the PVN, but have major limitations including high cost, low throughput, and the inability to perform live cell tracking of individual BTSCs. Herein, we propose to develop a tissue-engineered 3D microvascular niche-on-a-chip model that can incorporate primary brain tumor cells from patients in order to bridge this gap between in vitro and in vivo models.Our pilot study has demonstrated the success in co-culture of patient-derived glioblastoma cells and microvasculature in a microfluidic gel system and observed preferential localization of BTSCs in the PVN. Comparing ex vivo dynamics of individual tumor cells on-chip to single-cell transcriptomes across 10 patients further revealed a correlation between perivascular localization and transcriptional subtypes. In this project, we propose to further examine tumor cell migration and localization using a larger cohort of patient specimens and compare the results to pathological and clinical data, aiming to develop it into an ex vivo functional assay for patient prognosis and subclassification (Aim 1). We will apply scRNA-seq to the same samples to generate correlative data to identify subtypes associated with distinct ex vivo dynamics in the tissue-engineered PVN model, which can help elucidate the molecular mechanisms of PVN in tumor cell fate and invasion (Aim 2). Finally, we will investigate the response of tumor cells in PVN to chemo and targeted therapies administered through the perfusable microvascular network to assess the potential to perform personalized drug test and therapeutic stratification (Aim 3). This project will deliver a novel tissue-engineered microsystem to not only study the biology of PVN in human brain tumor development but also develop new assays for ex vivo drug test of human tumor cells for precision medicine.",R01,"Microenvironment, Metastasis, Drug Resistance/Sensitivity",Yale University,Yale,"Rong Fan, Jiangbing Zhou, Anita Huttner",TEC,2/4/20,1/31/25,https://reporter.nih.gov/search/qtylM4WUFke-5YVzCJbnNg/projects,4,,https://www.synapse.org/#!Team:3471127,https://www.synapse.org/#!Synapse:syn22116901,9e59ea35-31c1-483b-a2f2-25c9028ee065,syn53259587
GrantView,CA248890,3-Dimensional Retinal Organoid Platform for the Study of Retinoblastoma,CA248890,"Retinoblastoma (Rb) is the most common eye cancer in children and a significant contributor to childhood cancer deaths worldwide. Rb tumors arise from biallelic loss of the RB1 gene during retinal development in-utero, and are uniformly lethal if left untreated. While clinical management of the tumor has advanced in recent decades, the non-specific and highly toxic nature of current therapies frequently result in life-long visual compromise and health complications. Similarly, the exorbitant cost and limited access to advanced procedures render the best treatment options inaccessible to most children worldwide, where eye removal remains the only life-saving option for patients. However, the social stigma and psychological effects of eye removal often lead parents to forego treatment, resulting in survival rates below 50% in many regions of the world. The most significant barrier to progress in developing targeted selective therapies for retinoblastoma is the gap in knowledge regarding the molecular drivers of retinoblastoma progression. Currently, no laboratory models exist, animal or otherwise, which faithfully recapitulate the human manifestation of this disease, and the limited amount of information available comes from tumors which necessitate removal, thus only providing a snapshot of the molecular mechanisms present in advanced cases. The ability to study these tumors in earlier stages, including their pre- malignant phase would shed light into the molecular drivers of Rb progression, lead to more targeted therapies which obviate the need for eye removal, ideally preserving vision but, more importantly, save lives. Recently, we have developed a human iPSC-based 3-Dimensional retinal organoid differentiation protocol and tissue culture bioreactor system in which we can control various environmental parameters critical for proper retinal development. Using this platform, we can use gene editing to introduce the most prevalent mutations found in Rb tumors and evaluate their effect on retinal development and tumor formation. We have shown how some of these mutations lead to amplification of a pre-malignant undifferentiated mutant cell clone, and disrupt terminal differentiation of other retinal cell types. We now propose to establish this platform as the first model system in which the various aspects of human Rb tumors can be elucidated, from their initiation through the drivers of malignant transformation. In order to achieve this, we aim to 1) Optimize, validate, and deploy our tissue bioreactor system to recapitulate the microenvironment of the developing retina, 2) use gene editing technology to establish the physiologic pattern of mutation acquisition during retinogenesis which leads to Rb tumor formation, and 3) use our 3D retinal organoid platform to screen pharmacological compounds that can address the molecular determinants of Rb tumor progression.",R01,"Tumor Progression, Platform Development",University of Miami,U Miami,"Daniel Pelaez, William Harbour",TEC,9/15/20,6/30/25,https://reporter.nih.gov/search/SMFk3_TNz0KScrMKMqiajA/projects,4,,https://www.synapse.org/#!Team:3471151,https://www.synapse.org/#!Synapse:syn35270490,aba5862e-7396-445c-a4c3-68a3fe5e4c59,syn53259587
GrantView,CA249799,Cancer Patient on a Chip,CA249799,"The availability of predictive in vitro models of human tumors designed to accurately recapitulate key aspects of human pathophysiology would be transformative to cancer research and pre-clinical validation of new therapeutic modalities. We assembled an interdisciplinary team of leading experts in bioengineering, cancer biology, systems biology, pathology and oncology to establish such model. Based on extensive prior work, we propose to develop a state-of-the art “cancer patient on a chip” of invasive human breast carcinoma. The tumor will be physiologically integrated with their cognate metastatic sites (lung, liver, bone) via vascular perfusion containing circulating cells. The tumor compartment will be established directly from surgical specimens grown in 3D, organotypic conditions while target metastatic sites and vasculature will be established from blood-derived, patient-matched iPS cells, under an active institutional review board protocol. The system is imaging compatible and supports long-term culture (up to 12 weeks). Biological fidelity and heterogeneity of primary and metastatic sites, as implemented in the context of such vascularized multi-tissue platform, will be validated by single-cell analyses vs. the corresponding native tumor. For these studies, we will recruit a cohort of patients with metastatic tumors. Our ultimate goal is to demonstrate utility of the platform in elucidating mechanisms of tumor progression and drug resistance, by testing drug panels predicted by a novel RNA-seq-based, NY CLIA certified methodology (OncoTreat). Our hypothesis is that our system will recapitulate key properties of the metastatic breast adenocarcinoma and enable identification of target proteins that mechanistically drive tumor progression and drug sensitivity/resistance. Three specific aims will be pursued in a highly integrated fashion: Aim 1: Bioengineer a 3D human breast carcinoma model and metastasis host tissues; Establish a model of metastasis in an integrated patient-on-a-chip platform; Aim 3: Elucidate master regulators and predict drug sensitivity in metastatic cells using the “cancer patient on a chip” model. We anticipate that this platform would have broad utility in cancer research and in patient-specific testing of new therapeutic modalities.",R01,"Drug Resistance/Sensitivity, Metastasis, Platform Development",Columbia University,Columbia,Gordana Vunjak-Novakovic,TEC,7/15/20,6/30/25,https://reporter.nih.gov/search/NKSsbNffEUyRz2qrfKZ7Ow/projects,4,,https://www.synapse.org/#!Team:3471147,https://www.synapse.org/#!Synapse:syn35270470,d395681a-3661-4e74-84ae-21c161e9d37a,syn53259587
GrantView,CA250040,Exploiting the Mechanobiology of PD-1 for Cancer Immunotherapy,CA250040,"Programmed cell death 1 (PD-1) is one of the key co-inhibitory molecules upregulated upon T cell activation and is a hallmark of T-cell exhaustion. Despite the fact that PD-1 blockade has become a revolutionary strategy in treating cancer and infectious diseases, the mechanobiology of PD-1 has not been studied. This is the gap that tne present Physical Science – Oncology Project (PS-OP) aims to fill. The significance of the PS-OP’s unique mechanobiology angle lies in the therapeutic potential of targeting the mechanoregulation of PD-1 to treat a wide variety of diseases, including melanoma, which is the focus of this PS-OP. The approaches of the PS-OP’s multidisciplinary team combine four physical science (PS) tools with two mouse models of melanoma. They represent the unique strength of the Zhu lab and the Ahmed lab, and enable investigation of PD-1 mechanobiology in silico, in vitro and in vivo. The first PS tool is DNA-based mechanical tension probes (MTP) and tension gauge tethers (TGT) that report and limit, respectively, cell-generated forces on PD-1. The second PS tool is three biomembrane force probe (BFP)-based single-molecule methods that quantify force regulation of in situ PD-1–PD-ligand interactions with concurrent imaging of intracellular signals in single cells. The third PS tool is molecular dynamics (MD) simulations that reveal structural changes of PD-1 in complex with its ligands under force and the bonding dynamics at atomic level. The fourth PS-tool is microfluidic-based devices for cell trapping, stimulation, and analysis. Preliminary studies of the project demonstrate that: 1) cells actively pull on PD-1; 2) force on PD-1 elicits catch bonds to regulate ligand bonding; 3) force induces rearrangement of the PD-1–PD-L2 binding interface to form new atomic-level interactions; 4) mutating specific amino acids on PD-1 alters its force, catch bond and function; and 5) PD-1’s inhibitory signal suppresses antigen recognition by disrupting the synergy between TCR and CD8 in pMHC binding. These data support the hypothesis that force critically regulates ligand bonding and signaling of PD-1; as such, targeting the PD-1 mechanoregulation may represent a novel approach to immunotherapy. This hypothesis will be tested by three specific aims: 1) Determine the forces on PD-1 and their impact on PD-1 ligand bonding, signaling and function; 2) Modulate T cell function by targeting PD-1 mechanoregulation; and 3) Investigate the therapeutic potential of manipulating PD-1 catch bonds in tumor mouse models. These studies will elucidate the mechanisim of PD-1 signaling, improve one’s understanding of CD8+ T-cell responses to melanoma, and suggest new immunotheraputic strategies to treating cancer.",U01,Tumor-Immune,"Georgia Institute of Technology, Emory University","GTech, Emory","Cheng Zhu, Rafi Ahmed",PS-ON,6/1/20,5/31/25,https://reporter.nih.gov/search/JTdIuR6H9UmydJ5WXkgv6g/projects,4,,https://www.synapse.org/#!Team:3471110,https://www.synapse.org/#!Synapse:syn22115225,56c7f088-3603-4768-88d0-8c4bcae80de5,syn53259587
GrantView,CA250044,A physical sciences approach to investigate the role of exosomes in metastatic progression,CA250044,"Metastatic cancer is a major clinical challenge that accounts for numerous deaths annually in the United States, particularly in women with triple-negative breast cancer (TNBC). Many tumors develop within a microenvironment (TME) characterized by altered/stiffened extracellular matrix (ECM) and compromised immunity. These alterations play a causal role in malignancy and metastasis. Recently tumor-derived exosomes have drawn tremendous interest as they are implicated in modulating the TME, suppressing anti-tumor immunity, and preparing the metastatic site for progression. A hallmark of cancer cells is their ability to evade the immune system. Exosomes play a pivotal role in the suppression of anti-tumor immunity. In this project, focusing on TNBC, we explore how ECM stiffness and cytoskeletal tension (collectively referred to as tissue tension) regulate exosome production and cargo composition, and how these exosomes contribute to the suppression of anti- tumor immunity and promote metastasis. We pursue a unique set of hypotheses linking tissue tension to exosome production and defining the role of tumor-derived exosomes in immune surveillance and metastatic progression. To test our hypotheses, we have assembled a strong team from UPENN and UCSF, integrating expertise in bioengineering, cancer mechanobiology, and cancer immunology. In Aim 1, we address whether and how the tissue tension affects exosome production and alters exosome cargo in vitro in TNBC cells. We will also delineate a molecular pathway linking ECM stiffness to intracellular signaling and exosome trafficking, using experimental and subcellular biophysical modeling methods. In Aim 2, we address how tissue tension promotes metastatic progression via exosomes in vivo. In this aim we test the hypothesis that the tension of the primary tumor tissue enhances exosome production and alters exosome cargo to promote the dissemination of primary tumor cells and foster their survival and outgrowth at the metastatic site. We will use unique genetically engineered mouse models (GEMMs) and syngeneic TNBC models, and TNBC patient PDXs, combined with multiscale pharmacokinetic modeling. In Aim 3, we address how tissue tension contributes to the suppression of anti-tumor immunity. In this aim, we will investigate the role of exosomes derived from tumors with high tension in stiff ECM TMEs in suppressing anti-tumor immunity through (1) reprogramming macrophages against T cells; and (2) the engagement of PD-1/PD-L1 checkpoint axis in T cells. We will use a combination of in vitro cell culture experiments, in vivo genetically engineered mouse models and syngeneic transplant manipulations and tissue-scale agent-based modeling. The expected results will shed light on the roles of exosomes in immune regulation and metastatic tumor progression; these are important and timely questions in cancer research. The results will lay the foundation for future therapeutic intervention of metastatic disease through the identification of actionable biomarkers, development of new immune checkpoint inhibitor (ICB)-based therapies, and ultimately reduce patient mortality.",U01,Metastasis,University of Pennsylvania,UPenn,"Ravi Radhakrishnan, Wei Guo, Valerie Marie Weaver",PS-ON,9/16/21,8/31/26,https://reporter.nih.gov/search/nympsglyM0qevoxUEmGHfg/projects,4,,https://www.synapse.org/#!Team:3471142,https://www.synapse.org/#!Synapse:syn32406004,ec984db9-48ba-42e9-86ff-707def4811c1,syn53259587
