Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,"CA268069, CA210190","CCBIR, PS-ON","Platform Development, Metastasis, Tumor-Immune, Microenvironment, Immunotherapy",10.1016/j.sbi.2023.102576,Curr Opin Struct Biol,36947952,Multiscale models of integrins and cellular adhesions,https://pubmed.ncbi.nlm.nih.gov/36947952,2023,,"Tamara C Bidone, David J Odde","Computational models of integrin-based adhesion complexes have revealed important insights into the mechanisms by which cells establish connections with their external environment. However, how changes in conformation and function of individual adhesion proteins regulate the dynamics of whole adhesion complexes remains largely elusive. This is because of the large separation in time and length scales between the dynamics of individual adhesion proteins (nanoseconds and nanometers) and the emergent dynamics of the whole adhesion complex (seconds and micrometers), and the limitations of molecular simulation approaches in extracting accurate free energies, conformational transitions, reaction mechanisms, and kinetic rates, that can inform mechanisms at the larger scales. In this review, we discuss models of integrin-based adhesion complexes and highlight their main findings regarding: (i) the conformational transitions of integrins at the molecular and macromolecular scales and (ii) the molecular clutch mechanism at the mesoscale. Lastly, we present unanswered questions in the field of modeling adhesions and propose new ideas for future exciting modeling opportunities.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA231978,CSBC,"Drug Resistance/Sensitivity, Heterogeneity",10.1038/s41597-023-02335-4,Sci Data,37407670,"A harmonized resource of integrated prostate cancer clinical, -omic, and signature features",https://pubmed.ncbi.nlm.nih.gov/37407670,2023,,"Teemu D Laajala, Varsha Sreekanth, Alex C Soupir, Jordan H Creed, Anni S Halkola, Federico C F Calboli, Kalaimathy Singaravelu, Michael V Orman, Christelle Colin-Leitzinger, Travis Gerke, Brooke L Fridley, Svitlana Tyekucheva, James C Costello","Genomic and transcriptomic data have been generated across a wide range of prostate cancer (PCa) study cohorts. These data can be used to better characterize the molecular features associated with clinical outcomes and to test hypotheses across multiple, independent patient cohorts. In addition, derived features, such as estimates of cell composition, risk scores, and androgen receptor (AR) scores, can be used to develop novel hypotheses leveraging existing multi-omic datasets. The full potential of such data is yet to be realized as independent datasets exist in different repositories, have been processed using different pipelines, and derived and clinical features are often not provided or  not standardized. Here, we present the curatedPCaData R package, a harmonized data resource representing >2900 primary tumor, >200 normal tissue, and >500 metastatic PCa samples across 19 datasets processed using standardized pipelines with updated gene annotations. We show that meta-analysis across harmonized studies has great potential for robust and clinically meaningful insights. curatedPCaData is an open and accessible community resource with code made available for reproducibility.",Computational Tool,Pan-cancer,Not Applicable,"GSE18655, GSE691955, GSE134051, GSE54691, GSE210945, GSE11961650, GSE1420689, GSE2513652",Open Access
PublicationView,CA210181,PS-ON,"Microenvironment, Heterogeneity, Tumor-Immune",10.20517/ais.2022.38,Artif Intell Surg,37124705,Potential of artificial intelligence in the risk stratification for and early detection of pancreatic cancer,https://pubmed.ncbi.nlm.nih.gov/37124705,2023,"Artificial intelligence, Pancreatic cancer, Early Detection, Risk Prediction","Daniela R Tovar, Michael H Rosenthal, Anirban Maitra, Eugene J Koay","Pancreatic ductal adenocarcinoma (PDAC) is the third most lethal cancer in the United States, with a 5-year life expectancy of 11%. Most symptoms manifest at an advanced stage of the disease when surgery is no longer appropriate. The dire prognosis of PDAC warrants new strategies to improve the outcomes of patients, and early detection has garnered significant attention. However, early detection of PDAC is most often incidental, emphasizing the importance of developing new early detection screening strategies. Due to the low incidence of the disease in the general population, much of the focus for screening has turned to individuals at high risk of PDAC. This enriches the screening population and balances the risks associated with pancreas interventions. The cancers that are found in these high-risk individuals by MRI and/or EUS screening show favorable 73% 5-year overall survival. Even with the emphasis on screening in enriched high-risk populations, only a minority of incident cancers are detected this way. One strategy to improve early detection outcomes is to integrate artificial intelligence (AI) into biomarker discovery and risk models. This expert review summarizes recent publications that have developed AI algorithms for the applications of risk stratification of PDAC using radiomics and electronic health records. Furthermore, this review illustrates the current uses of radiomics and biomarkers in AI for early detection of PDAC. Finally, various challenges and potential solutions are highlighted regarding the use of AI in medicine for early detection purposes.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,CA261822,PS-ON,Drug Resistance/Sensitivity,10.1016/j.devcel.2023.04.010,Dev Cell,37148881,Immune mechanisms shape the clonal landscape during early progression of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/37148881,2023,"prostate cancer, Immunoediting, Clonal Competition, Single-cell Transcriptomics","Lara F Tshering, Fu Luo, Savanah Russ, Mariola Szenk, Diana Rubel, Karis Tutuska, James G Rail, Gábor Balázsi, Michael M Shen, Flaminia Talos","Understanding the role of the immune microenvironment in modulating intratumor heterogeneity is essential for effective cancer therapies. Using multicolor lineage tracing in genetically engineered mouse models and single-cell transcriptomics, we show that slowly progressing tumors contain a multiclonal landscape of relatively homogeneous subpopulations within a well-organized tumor microenvironment. In more advanced and aggressive tumors, however, the multiclonal landscape develops into competing dominant and minor clones accompanied by a disordered microenvironment. We demonstrate that this dominant/minor landscape is associated with differential immunoediting, in which minor clones are marked by an increased expression of IFNγ-response genes and the T cell-activating chemokines Cxcl9 and Cxcl11. Furthermore, immunomodulation of the IFNγ pathway can rescue minor clones from elimination. Notably, the immune-specific gene signature of minor clones exhibits a prognostic value for biochemical recurrence-free survival in human prostate cancer. These findings suggest new immunotherapy approaches for modulating clonal fitness and tumor progression in prostate cancer.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,CA217376,CSBC,"Heterogeneity, Epigenetics, Microenvironment, Evolution",10.1016/j.semcancer.2023.04.004,Semin Cancer Biol,37037400,The tumour ecology of quiescence: Niches across scales of complexity,https://pubmed.ncbi.nlm.nih.gov/37037400,2023,"Niche, Cell cycle, Quiescence, Glioblastoma, Intratumor Heterogeneity, Tumour Ecology","Simon P Castillo, Felipe Galvez-Cancino, Jiali Liu, Steven M Pollard, Sergio A Quezada, Yinyin Yuan","Quiescence is a state of cell cycle arrest, allowing cancer cells to evade anti-proliferative cancer therapies. Quiescent cancer stem cells are thought to be responsible for treatment resistance in glioblastoma, an aggressive brain cancer with poor patient outcomes. However, the regulation of quiescence in glioblastoma cells involves a myriad of intrinsic and extrinsic mechanisms that are not fully understood. In this review, we synthesise the literature on quiescence regulatory mechanisms in the context of glioblastoma and propose an ecological perspective to stemness-like phenotypes anchored to the contemporary concepts of niche theory. From this perspective, the cell cycle regulation is multiscale and multidimensional, where the niche dimensions extend to extrinsic variables in the tumour microenvironment that shape cell fate. Within this conceptual framework and powered by ecological niche modelling, the discovery of microenvironmental variables related to hypoxia and mechanosignalling that modulate proliferative plasticity and intratumor immune activity may open new avenues for therapeutic targeting of emerging biological vulnerabilities in glioblastoma.",Cell Cycle Assay,Glioblastoma,Not Applicable,Not Applicable,Open Access
PublicationView,,,,10.1158/1078-0432.ccr-22-2854,Clin Cancer Res,37406085,Combined CDK4/6 and ERK1/2 inhibition enhances anti-tumor activity in NF1-associated plexiform neurofibroma,https://pubmed.ncbi.nlm.nih.gov/37406085,2023,,"Alyssa C Flint, Dana K Mitchell, Steven P Angus, Abbi E Smith, Waylan Bessler, Li Jiang, Henry Mang, Xiaohong Li, Qingbo Lu, Brooke Rodriguez, George E Sandusky, Andi R Masters, Chi Zhang, Pengtao Dang, Jenna Koenig, Gary L Johnson, Weihua Shen, Jiangang Liu, Amit Aggarwal, Gregory P Donoho, Melinda D Willard, Shripad V Bhagwat, D Wade Clapp, Steven D Rhodes","Purpose: Plexiform neurofibromas (PNF) are peripheral nerve sheath tumors that cause significant morbidity in persons with neurofibromatosis type 1 (NF1), yet treatment options remain limited. To identify novel therapeutic targets for PNF, we applied an integrated multi-omic approach to quantitatively profile kinome enrichment in a mouse model that has predicted therapeutic responses in clinical trials for NF1-associated PNF with high fidelity. Experimental design: Utilizing RNA sequencing combined with chemical proteomic profiling of the functionally enriched kinome using multiplexed inhibitor beads coupled with mass spectrometry, we identified molecular signatures predictive of response to CDK4/6 and RAS/MAPK pathway inhibition in PNF. Informed by these results, we evaluated the efficacy of the CDK4/6 inhibitor, abemaciclib, and the ERK1/2 inhibitor, LY3214996, alone and in combination in reducing PNF tumor burden in Nf1flox/flox;PostnCre mice. Results: Converging signatures of CDK4/6 and RAS/MAPK pathway activation were identified within the transcriptome and kinome that were conserved in both murine and human PNF. We observed robust additivity of the CDK4/6 inhibitor, abemaciclib, in combination with the ERK1/2 inhibitor, LY3214996, in murine and human NF1(Nf1) mutant Schwann cells. Consistent with these findings, the combination of abemaciclib (CDK4/6i) and LY3214996 (ERK1/2i) synergized to suppress molecular signatures of MAPK activation and exhibited enhanced anti-tumor activity in Nf1flox/flox;PostnCre mice in vivo. Conclusion: These findings provide rationale for the clinical translation of CDK4/6 inhibitors alone and in combination with therapies targeting the RAS/MAPK pathway for the treatment of PNF and other peripheral nerve sheath tumors in persons with NF1.",RNA Sequencing,Plexiform Neurofibroma,Peripheral Nerves,Not Applicable,Open Access
PublicationView,CA209992,CSBC,"Microenvironment, Metastasis",10.1158/2326-6066.cir-22-0565,Cancer Immunol Res,37253111,Immunogenetic Metabolomics Reveals Key Enzymes That Modulate CAR T-cell Metabolism and Function,https://pubmed.ncbi.nlm.nih.gov/37253111,2023,,"Paul Renauer, Jonathan J Park, Meizhu Bai, Arianny Acosta, Won-Ho Lee, Guang Han Lin, Yueqi Zhang, Xiaoyun Dai, Guangchuan Wang, Youssef Errami, Terence Wu, Paul Clark, Lupeng Ye, Quanjun Yang, Sidi Chen","Immune evasion is a critical step of cancer progression that remains a major obstacle for current T cell-based immunotherapies. Hence, we investigated whether it is possible to genetically reprogram T cells to exploit a common tumor-intrinsic evasion mechanism whereby cancer cells suppress T-cell function by generating a metabolically unfavorable tumor microenvironment (TME). In an in silico screen, we identified ADA and PDK1 as metabolic regulators. We then showed that overexpression (OE) of these genes enhanced the cytolysis of CD19-specific chimeric antigen receptor (CAR) T cells against cognate leukemia cells, and conversely, ADA or PDK1 deficiency dampened this effect. ADA-OE in CAR T cells improved cancer cytolysis under high concentrations of adenosine, the ADA substrate, and an immunosuppressive metabolite in the TME. High-throughput transcriptomics and metabolomics analysis of these CAR T cells revealed alterations of global gene expression and metabolic signatures in both ADA- and PDK1-engineered CAR T cells. Functional and immunologic analyses demonstrated that ADA-OE increased proliferation and decreased exhaustion in CD19-specific and HER2-specific CAR T cells. ADA-OE improved tumor infiltration and clearance by HER2-specific CAR T cells in an in vivo colorectal cancer model. Collectively, these data unveil systematic knowledge of metabolic reprogramming directly in CAR T cells and reveal potential targets for improving CAR T-cell therapy.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,"CA193489, CA232382","CSBC, PS-ON","Microenvironment, Drug Resistance/Sensitivity, Evolution, Tumor-Immune",10.1038/s41467-023-40218-9,Nat Commun,37495577,Virtual alignment of pathology image series for multi-gigapixel whole slide images,https://pubmed.ncbi.nlm.nih.gov/37495577,2023,,"Chandler D Gatenbee, Ann-Marie Baker, Sandhya Prabhakaran, Ottilie Swinyard, Robbert J C Slebos, Gunjan Mandal, Eoghan Mulholland, Noemi Andor, Andriy Marusyk, Simon Leedham, Jose R Conejo-Garcia, Christine H Chung, Mark Robertson-Tessi, Trevor A Graham, Alexander R A Anderson","Interest in spatial omics is on the rise, but generation of highly multiplexed images remains challenging, due to cost, expertise, methodical constraints, and access to technology. An alternative approach is to register collections of whole slide images (WSI), generating spatially aligned datasets. WSI registration is a two-part problem, the first being the alignment itself and the second the application of transformations to huge multi-gigapixel images. To address both challenges, we developed Virtual Alignment of pathoLogy Image Series (VALIS), software which enables generation of highly multiplexed images by aligning any number of brightfield and/or immunofluorescent WSI, the results of which can be saved in the ome.tiff format. Benchmarking using publicly available datasets indicates VALIS provides state-of-the-art accuracy in WSI registration and 3D reconstruction. Leveraging existing open-source software tools, VALIS is written in Python, providing a free, fast, scalable, robust, and easy-to-use pipeline for registering multi-gigapixel WSI, facilitating downstream spatial analyses.",Computational Tool,Colorectal Carcinoma,Not Applicable,Not Applicable,Open Access
PublicationView,CA268069,CCBIR,"Platform Development, Microenvironment, Tumor-Immune, Immunotherapy",10.1002/adma.202301208,Adv Mater,37186328,Metasurface-Enhanced Mid-Infrared Spectrochemical Imaging of Tissues,https://pubmed.ncbi.nlm.nih.gov/37186328,2023,"Laser spectroscopy, Hyperspectral Imaging, Nanobiophotonics, Surface-enhanced Infrared Absorption Spectroscopy, Label-free Brain Tissue Imaging, Photonic Metasurfaces, Mid-infrared Spectral Imaging","Samir Rosas, Keegan A Schoeller, Edward Chang, Hongyan Mei, Mikhail A Kats, Kevin W Eliceiri, Xinyu Zhao, Filiz Yesilkoy","Label-free and nondestructive mid-infrared vibrational hyperspectral imaging is an essential tissue analysis tool, providing spatially resolved biochemical information critical to understanding physiological and pathological processes. However, the chemically complex and spatially heterogeneous composition of tissue specimens and the inherently weak interaction of infrared light with biomolecules limit the analytical performance of infrared absorption spectroscopy. Here, an advanced mid-infrared spectrochemical tissue imaging modality is introduced using metasurfaces that support strong surface-localized electromagnetic fields to capture quantitative molecular maps of large-area murine brain tissue sections. The approach leverages polarization-multiplexed multi-resonance plasmonic metasurfaces to simultaneously detect various functional biomolecules. The surface-enhanced mid-infrared spectral imaging method eliminates the non-specific effects of bulk tissue morphology on quantitative spectral analysis and improves chemical selectivity. This study shows that metasurface enhancement increases the retrieval of amide I and II bands associated with protein secondary structures. Moreover, it is demonstrated that plasmonic metasurfaces enhance the chemical contrast in infrared images and enable detection of ultrathin tissue regions that are not otherwise visible to conventional mid-infrared spectral imaging. While this work uses murine brain tissue sections, the chemical imaging method is well-suited for other tissue types, which broadens its potential impact for translational research and clinical histopathology.",Microscopy,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,"CA217450, CA215845",CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1371/journal.pcbi.1011215,PLoS Comput Biol,37406008,Unified tumor growth mechanisms from multimodel inference and dataset integration,https://pubmed.ncbi.nlm.nih.gov/37406008,2023,,"Samantha P Beik, Leonard A Harris, Michael A Kochen, Julien Sage, Vito Quaranta, Carlos F Lopez","Mechanistic models of biological processes can explain observed phenomena and predict responses to a perturbation. A mathematical model is typically constructed using expert knowledge and informal reasoning to generate a mechanistic explanation for a given observation. Although this approach works well for simple systems with abundant data and well-established principles, quantitative biology is often faced with a dearth of both data and knowledge about a process, thus making it challenging to identify and validate all possible mechanistic hypothesis underlying a system behavior. To overcome these limitations, we introduce a Bayesian multimodel inference (Bayes-MMI) methodology, which quantifies how mechanistic hypotheses can explain a given experimental datasets, and concurrently, how each dataset informs a given model hypothesis, thus enabling hypothesis space exploration in the context of available data. We demonstrate this approach to probe standing questions about heterogeneity, lineage plasticity, and cell-cell interactions in tumor growth mechanisms of small cell lung cancer (SCLC). We integrate three datasets that each formulated different explanations for tumor growth mechanisms in SCLC, apply Bayes-MMI and find that the data supports model predictions for tumor evolution promoted by high lineage plasticity, rather than through expanding rare stem-like populations. In addition, the models predict that in the presence of cells associated with the SCLC-N or SCLC-A2 subtypes, the transition from the SCLC-A subtype to the SCLC-Y subtype through an intermediate is decelerated. Together, these predictions provide a testable hypothesis for observed juxtaposed results in SCLC growth and a mechanistic interpretation for tumor treatment resistance.",Mathematical Modeling,Lung Small Cell Carcinoma,Lung,Not Applicable,Open Access
PublicationView,CA210152,PS-ON,"Microenvironment, Metastasis",10.1038/s41467-023-40270-5,Nat Commun,37553327,Hyaluronic acid-bilirubin nanomedicine-based combination chemoimmunotherapy,https://pubmed.ncbi.nlm.nih.gov/37553327,2023,,"Yonghyun Lee, Jongyoon Shinn, Cheng Xu, Hannah E Dobson, Nouri Neamati, James J Moon","Despite significant advances in immune checkpoint blockade (ICB), immunosuppression mediated by tumor-associated myeloid cells (TAMCs) poses a major barrier to cancer immunotherapy. In addition, while immunogenic cell death (ICD) provides a viable approach to inducing anti-tumor immune response, it remains unknown how to effectively trigger ICD while addressing immunosuppressive TAMCs. Here, we show that SC144, a gp130 inhibitor that blocks the IL-6/gp130/STAT3 pathway, induces ICD of tumor cells and polarizes macrophages to M1-phenotype in vitro. However, as SC144 also induces killing of CD8<sup>+</sup> T-cells, we sought to deliver SC144 selectively to tumor cells and TAMCs. Toward this goal, we have developed hyaluronic acid-bilirubin nanoparticles (HABN) that accumulate in CD44<sup>hi</sup> tumor cells and TAMCs. Systemic administration of SC144 loaded in HABN (SC144@HABN) induces apoptosis and ICD of tumor cells, increases the ratio of M1-like to M2-like macrophages, and decreases the frequency of myeloid-derived suppressor cells and CD4<sup>+</sup> regulatory T-cells, while promoting anti-tumor CD8<sup>+</sup> T-cells. Moreover, SC144@HABN combined with anti-PD-L1 ICB efficiently eliminates MC38 tumors and ICB-resistant 4T1 tumors. Overall, our work demonstrates a therapeutic strategy based on coordinated ICD induction and TAMC modulation and highlights the potential of combination chemoimmunotherapy.","Immunotherapy, Flow Cytometry, Imaging, ELISA, Cell Culture, Fluorescence Activated Cell Sorting",Colon Carcinoma,Not Applicable,Not Applicable,Open Access
PublicationView,CA228963,PS-ON,Tumor-Immune,10.1038/s41467-023-39985-2,Nat Commun,37474509,Identification of transcriptional programs using dense vector representations defined by mutual information with GeneVector,https://pubmed.ncbi.nlm.nih.gov/37474509,2023,,"Nicholas Ceglia, Zachary Sethna, Samuel S Freeman, Florian Uhlitz, Viktoria Bojilova, Nicole Rusk, Bharat Burman, Andrew Chow, Sohrab Salehi, Farhia Kabeer, Samuel Aparicio, Benjamin D Greenbaum, Sohrab P Shah, Andrew McPherson","Deciphering individual cell phenotypes from cell-specific transcriptional processes requires high dimensional single cell RNA sequencing. However, current dimensionality reduction methods aggregate sparse gene information across cells, without directly measuring the relationships that exist between genes. By performing dimensionality reduction with respect to gene co-expression, low-dimensional features can model these gene-specific relationships and leverage shared signal to overcome sparsity. We describe GeneVector, a scalable framework for dimensionality reduction implemented as a vector space model using mutual information between gene expression. Unlike other methods, including principal component analysis and variational autoencoders, GeneVector uses latent space arithmetic in a lower dimensional gene embedding to identify transcriptional programs and classify cell types. In this work, we show in four single cell RNA-seq datasets that GeneVector was able to capture phenotype-specific pathways, perform batch effect correction, interactively annotate cell types, and identify pathway variation with treatment over time.",Computational Modeling,Pan-cancer,Not Applicable,"GSE158803, GSE96583",Open Access
PublicationView,CA241137,TEC,"Platform Development, Microenvironment, Drug Resistance/Sensitivity",10.1016/j.jtbi.2023.111497,J Theor Biol,37087049,Statistical inference of the rates of cell proliferation and phenotypic switching in cancer,https://pubmed.ncbi.nlm.nih.gov/37087049,2023,"Maximum likelihood estimation, Epigenetics, Parameter Identifiability, Mathematical Modeling, Phenotypic Switching, Cancer Evolution","Einar Bjarki Gunnarsson, Jasmine Foo, Kevin Leder","Recent evidence suggests that nongenetic (epigenetic) mechanisms play an important role at all stages of cancer evolution. In many cancers, these mechanisms have been observed to induce dynamic switching between two or more cell states, which commonly show differential responses to drug treatments. To understand how these cancers evolve over time, and how they respond to treatment, we need to understand the state-dependent rates of cell proliferation and phenotypic switching. In this work, we propose a rigorous statistical framework for estimating these parameters, using data from commonly performed cell line experiments, where phenotypes are sorted and expanded in culture. The framework explicitly models the stochastic dynamics of cell division, cell death and phenotypic switching, and it provides likelihood-based confidence intervals for the model parameters. The input data can be either the fraction of cells or the number of cells in each state at one or more time points. Through a combination of theoretical analysis and numerical simulations, we show that when cell fraction data is used, the rates of switching may be the only parameters that can be estimated accurately. On the other hand, using cell number data enables accurate estimation of the net division rate for each phenotype, and it can even enable estimation of the state-dependent rates of cell division and cell death. We conclude by applying our framework to a publicly available dataset.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access
PublicationView,CA261694,MetNet,"Metastasis, Method/Assay Development",10.1002/adhm.202202984,Adv Healthc Mater,37119127,"Impact of Fibrinogen, Fibrin Thrombi, and Thrombin on Cancer Cell Extravasation Using In Vitro Microvascular Networks",https://pubmed.ncbi.nlm.nih.gov/37119127,2023,"Cancer, Fibrin, Coagulation, Metastasis, Microphysiological Systems","Emmanouil Angelidakis, Sophia Chen, Shun Zhang, Zhengpeng Wan, Roger D Kamm, Sarah E Shelton","A bidirectional association exists between metastatic dissemination and the hypercoagulable state associated with many types of cancer. As such, clinical studies have provided evidence that markers associated with elevated levels of coagulation and fibrinolysis correlate with decreased patient survival. However, elucidating the mechanisms underpinning the effects of different components of the coagulation system on metastasis formation is challenging both in animal models and 2D models lacking the complex cellular interactions necessary to model both thrombosis and metastasis. Here, an in vitro, 3D, microvascular model for observing the formation of fibrin thrombi is described, which is in turn used to study how different aspects of the hypercoagulable state associated with cancer affect the endothelium. Using this platform, cancer cells expressing ICAM-1 are shown to form a fibrinogen-dependent bridge and transmigrate through the endothelium more effectively. Cancer cells are also demonstrated to interact with fibrin thrombi, using them to adhere, spread, and enhance their extravasation efficiency. Finally, thrombin is also shown to enhance cancer cell extravasation. This system presents a physiologically relevant model of fibrin clot formation in the human microvasculature, enabling in-depth investigation of the cellular interactions between cancer cells and the coagulation system affecting cancer cell extravasation.","Cell Culture, Microfluidics, In Vitro Model, Flow Cytometry, Confocal Microscopy",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,"CA268069, CA210190","CCBIR, PS-ON","Platform Development, Metastasis, Tumor-Immune, Microenvironment, Immunotherapy",10.1016/j.bpj.2023.07.012,Biophys J,37475213,Optimal cell traction forces in a generalized motor-clutch model,https://pubmed.ncbi.nlm.nih.gov/37475213,2023,,"Roberto Alonso-Matilla, Paolo P Provenzano, David J Odde","Cells exert forces on mechanically compliant environments to sense stiffness, migrate, and remodel tissue. Cells can sense environmental stiffness via myosin-generated pulling forces acting on F-actin, which is in turn mechanically coupled to the environment via adhesive proteins, akin to a clutch in a drivetrain. In this ""motor-clutch"" framework, the force transmitted depends on the complex interplay of motor, clutch, and environmental properties. Previous mean-field analysis of the motor-clutch model identified the conditions for optimal stiffness for maximal force transmission via a dimensionless number that combines motor-clutch parameters. However, in this and other previous mean-field analyses, the motor-clutch system is assumed to have balanced motors and clutches and did not consider force-dependent clutch reinforcement and catch bond behavior. Here, we generalize the motor-clutch analytical framework to include imbalanced motor-clutch regimes, with clutch reinforcement and catch bonding, and investigate optimality with respect to all parameters. We found that traction force is strongly influenced by clutch stiffness, and we discovered an optimal clutch stiffness that maximizes traction force, suggesting that cells could tune their clutch mechanical properties to perform a specific function. The results provide guidance for maximizing the accuracy of cell-generated force measurements via molecular tension sensors by designing their mechanosensitive linker peptide to be as stiff as possible. In addition, we found that, on rigid substrates, the mean-field analysis identifies optimal motor properties, suggesting that cells could regulate their myosin repertoire and activity to maximize force transmission. Finally, we found that clutch reinforcement shifts the optimum substrate stiffness to larger values, whereas the optimum substrate stiffness is insensitive to clutch catch bond properties. Overall, our work reveals novel features of the motor-clutch model that can affect the design of molecular tension sensors and provide a generalized analytical framework for predicting and controlling cell adhesion and migration in immunotherapy and cancer.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA274492,CSBC,"Computational Model Development, Tumor-Immune, Immunotherapy",10.1016/j.cels.2023.06.003,Cell Syst,37473731,BayesTME: An end-to-end method for multiscale spatial transcriptional profiling of the tissue microenvironment,https://pubmed.ncbi.nlm.nih.gov/37473731,2023,"Spatial modeling, Tumor Microenvironment, Machine Learning, Bayesian Methods, Spatial Gene Expression, Spatial Transcriptomics","Haoran Zhang, Miranda V Hunter, Jacqueline Chou, Jeffrey F Quinn, Mingyuan Zhou, Richard M White, Wesley Tansey","Spatial variation in cellular phenotypes underlies heterogeneity in immune recognition and response to therapy in cancer and many other diseases. Spatial transcriptomics holds the potential to quantify such variation, but existing analysis methods are limited by their focus on individual tasks such as spot deconvolution. We present BayesTME, an end-to-end Bayesian method for analyzing spatial transcriptomics data. BayesTME unifies several previously distinct analysis goals under a single, holistic generative model. This unified approach enables BayesTME to deconvolve spots into cell phenotypes without any need for paired single-cell RNA-seq. BayesTME then goes beyond spot deconvolution to uncover spatial expression patterns among coordinated subsets of genes within phenotypes, which we term spatial transcriptional programs. BayesTME achieves state-of-the-art performance across myriad benchmarks. On human and zebrafish melanoma tissues, BayesTME identifies spatial transcriptional programs that capture fundamental biological phenomena such as bilateral symmetry and tumor-associated fibroblast and macrophage reprogramming. BayesTME is open source.","Computational Modeling, Mathematical Modeling",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA227544,CSBC,"Drug Resistance/Sensitivity, Heterogeneity",10.1002/pmic.202200194,Proteomics,37248656,Thiol redox proteomics: Characterization of thiol-based post-translational modifications,https://pubmed.ncbi.nlm.nih.gov/37248656,2023,"Cysteine, Post-translational modifications, Redox Proteomics, Protein Thiols, Thiol Redox Proteome, Redox Ptms","Xiaolu Li, Austin Gluth, Tong Zhang, Wei-Jun Qian","Redox post-translational modifications on cysteine thiols (redox PTMs) have profound effects on protein structure and function, thus enabling regulation of various biological processes. Redox proteomics approaches aim to characterize the landscape of redox PTMs at the systems level. These approaches facilitate studies of condition-specific, dynamic processes implicating redox PTMs and have furthered our understanding of redox signaling and regulation. Mass spectrometry (MS) is a powerful tool for such analyses which has been demonstrated by significant advances in redox proteomics during the last decade. A group of well-established approaches involves the initial blocking of free thiols followed by selective reduction of oxidized PTMs and subsequent enrichment for downstream detection. Alternatively, novel chemoselective probe-based approaches have been developed for various redox PTMs. Direct detection of redox PTMs without any enrichment has also been demonstrated given the sensitivity of contemporary MS instruments. This review discusses the general principles behind different analytical strategies and covers recent advances in redox proteomics. Several applications of redox proteomics are also highlighted to illustrate how large-scale redox proteomics data can lead to novel biological insights.","Mass Spectrometry, Proteomics Assay",Pan-cancer,Not Applicable,Not Applicable,Open Access
