Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type.1,tool,Unnamed: 19,PublicationView_id
PublicationView,"CA264620, CA209978",10.1038/s41467-023-39242-6,Nat Commun,37386030,https://pubmed.ncbi.nlm.nih.gov/37386030,Cell facilitation promotes growth and survival under drug pressure in breast cancer,2023,,"Rena Emond, Jason I Griffiths, Vince Kornél Grolmusz, Aritro Nath, Jinfeng Chen, Eric F Medina, Rachel S Sousa, Timothy Synold, Frederick R Adler, Andrea H Bild","The interplay of positive and negative interactions between drug-sensitive and resistant cells influences the effectiveness of treatment in heterogeneous cancer cell populations. Here, we study interactions between estrogen receptor-positive breast cancer cell lineages that are sensitive and resistant to ribociclib-induced cyclin-dependent kinase 4 and 6 (CDK4/6) inhibition. In mono- and coculture, we find that sensitive cells grow and compete more effectively in the absence of treatment. During treatment with ribociclib, sensitive cells survive and proliferate better when grown together with resistant cells than when grown in monoculture, termed facilitation in ecology. Molecular, protein, and genomic analyses show that resistant cells increase metabolism and production of estradiol, a highly active estrogen metabolite, and increase estrogen signaling in sensitive cells to promote facilitation in coculture. Adding estradiol in monoculture provides sensitive cells with increased resistance to therapy and cancels facilitation in coculture. Under partial inhibition of estrogen signaling through low-dose endocrine therapy, estradiol supplied by resistant cells facilitates sensitive cell growth. However, a more complete blockade of estrogen signaling, through higher-dose endocrine therapy, diminished the facilitative growth of sensitive cells. Mathematical modeling quantifies the strength of competition and facilitation during CDK4/6 inhibition and predicts that blocking facilitation has the potential to control both resistant and sensitive cancer cell populations and inhibit the emergence of a refractory population during cell cycle therapy.","3D Cell Culture, Liquid Chromatography Mass Spectrometry, Western Blotting, RNA Sequencing, Single Cell RNA-Sequencing, Mathematical Modeling",,Breast,"GSE143944, GSE193278",Open Access,Breast Adenocarcinoma,,,37386030
PublicationView,CA214411,10.1016/j.cobme.2021.100309,Curr Opin Biomed Eng,37206309,https://pubmed.ncbi.nlm.nih.gov/37206309,State of the art in integrated biosensors for organ-on-a-chip applications,2021,"Physical environment, Metabolic activity, Biomarkers, Organ-on-a-chip, Integrated Biosensors","Yangzhi Zhu, Kalpana Mandal, Ana Lopez Hernandez, Satoru Kawakita, Wei Huang, Praveen Bandaru, Samad Ahadian, Han-Jun Kim, Vadim Jucaud, Mehmet R Dokmeci, Ali Khademhosseini","Organ-on-a-chip (OoC) models are bioengineered tissue constructs integrated with microfluidics that recapitulate the key features of the physiology of human organs and tissues with applications related to drug development and personalized medicine. The characterization of OoCs relies on conventional labor-intensive approaches despite the many years of research in the field. The physical environment of the tissue constructs, functionality, and metabolic activity of the cells must be monitored to ensure the behavior of the cells, and the cellular environments represent <i>in vivo</i> physiology. Current efforts focus on monitoring these parameters, particularly with in-line biosensors integrated with OoCs. In this review, we describe the recent advances in different biosensing modalities applied to monitor the environment and functionality of OoC models and offer suggestions for future directions in OoC applications.",Microfluidics,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,37206309
PublicationView,"CA210180, CA238720",10.26508/lsa.202201466,Life Sci Alliance,37169593,https://pubmed.ncbi.nlm.nih.gov/37169593,Predictive data-driven modeling of C-terminal tyrosine function in the EGFR signaling network,2023,,"Jacqueline S Gerritsen, Joseph S Faraguna, Rudy Bonavia, Frank B Furnari, Forest M White","The epidermal growth factor receptor (EGFR) has been studied extensively because of its critical role in cellular signaling and association with disease. Previous models have elucidated interactions between EGFR and downstream adaptor proteins or showed phenotypes affected by EGFR. However, the link between specific EGFR phosphorylation sites and phenotypic outcomes is still poorly understood. Here, we employed a suite of isogenic cell lines expressing site-specific mutations at each of the EGFR C-terminal phosphorylation sites to interrogate their role in the signaling network and cell biological response to stimulation. Our results demonstrate the resilience of the EGFR network, which was largely similar even in the context of multiple Y-to-F mutations in the EGFR C-terminal tail, while also revealing nodes in the network that have not previously been linked to EGFR signaling. Our data-driven model highlights the signaling network nodes associated with distinct EGF-driven cell responses, including migration, proliferation, and receptor trafficking. Application of this same approach to less-studied RTKs should provide a plethora of novel associations that should lead to an improved understanding of these signaling networks.","Plasmid Construction, Flow Cytometry, Cell Culture, Liquid Chromatography Mass Spectrometry, Cell Proliferation Assay, Migration Assay",,Not Applicable,PXD032403,Open Access,Pan-cancer,,,37169593
PublicationView,CA224013,10.1053/j.gastro.2023.02.049,Gastroenterology,36907523,https://pubmed.ncbi.nlm.nih.gov/36907523,A TEAD2-Driven Endothelial-Like Program Shapes Basal-Like Differentiation and Metastasis of Pancreatic Cancer,2023,"Pancreatic cancer, Molecular Subtype, Enhancer Reprogramming","Hye-Been Yoo, Jin Woo Moon, Hwa-Ryeon Kim, Hee Seung Lee, Koji Miyabayashi, Chan Hee Park, Sabrina Ge, Amy Zhang, Yoo Keung Tae, Yujin Sub, Hyun-Woo Park, Heon Yung Gee, Faiyaz Notta, David A Tuveson, Seungmin Bang, Mi-Young Kim, Jae-Seok Roe","Background & aims: Pancreatic ductal adenocarcinoma (PDA), with its highly metastatic propensity, is one of the most lethal subtypes of pancreatic cancer. Although recent large-scale transcriptomic studies have demonstrated that heterogeneous gene expressions play an essential role in determining molecular phenotypes of PDA, biological cues for and consequences of distinct transcriptional programs remain unclear. Methods: We developed an experimental model that enforces the transition of PDA cells toward a basal-like subtype. We combined epigenome and transcriptome analyses with extensive in vitro and in vivo evaluations of tumorigenicity to demonstrate the validity of basal-like subtype differentiation in association with endothelial-like enhancer landscapes via TEA domain transcription factor 2 (TEAD2). Finally, we used loss-of-function experiments to investigate the importance of TEAD2 in regulating reprogrammed enhancer landscape and metastasis in basal-like PDA cells. Results: Aggressive characteristics of the basal-like subtype are faithfully recapitulated in vitro and in vivo, demonstrating the physiological relevance of our model. Further, we showed that basal-like subtype PDA cells acquire a TEAD2-dependent proangiogenic enhancer landscape. Genetic and pharmacologic inhibitions of TEAD2 in basal-like subtype PDA cells impair their proangiogenic phenotypes in vitro and cancer progression in vivo. Last, we identify CD109 as a critical TEAD2 downstream mediator that maintains constitutively activated JAK-STAT signaling in basal-like PDA cells and tumors. Conclusions: Our findings implicate a TEAD2-CD109-JAK/STAT axis in the basal-like differentiated pancreatic cancer cells and as a potential therapeutic vulnerability.","Cell Culture, Plasmid Construction, RT-PCR, ChIP-Seq, ATAC-Seq, RNA Sequencing",,Pancreas,GSE202534,Open Access,Pancreatic Ductal Adenocarcinoma,,,36907523
PublicationView,CA224012,10.1038/s41467-023-38921-8,Nat Commun,37380658,https://pubmed.ncbi.nlm.nih.gov/37380658,Increased glucose availability sensitizes pancreatic cancer to chemotherapy,2023,,"Ali Vaziri-Gohar, Jonathan J Hue, Ata Abbas, Hallie J Graor, Omid Hajihassani, Mehrdad Zarei, George Titomihelakis, John Feczko, Moeez Rathore, Sylwia Chelstowska, Alexander W Loftus, Rui Wang, Mahsa Zarei, Maryam Goudarzi, Renliang Zhang, Belinda Willard, Li Zhang, Adam Kresak, Joseph E Willis, Gi-Ming Wang, Curtis Tatsuoka, Joseph M Salvino, Ilya Bederman, Henri Brunengraber, Costas A Lyssiotis, Jonathan R Brody, Jordan M Winter","Pancreatic Ductal Adenocarcinoma (PDAC) is highly resistant to chemotherapy. Effective alternative therapies have yet to emerge, as chemotherapy remains the best available systemic treatment. However, the discovery of safe and available adjuncts to enhance chemotherapeutic efficacy can still improve survival outcomes. We show that a hyperglycemic state substantially enhances the efficacy of conventional single- and multi-agent chemotherapy regimens against PDAC. Molecular analyses of tumors exposed to high glucose levels reveal that the expression of GCLC (glutamate-cysteine ligase catalytic subunit), a key component of glutathione biosynthesis, is diminished, which in turn augments oxidative anti-tumor damage by chemotherapy. Inhibition of GCLC phenocopies the suppressive effect of forced hyperglycemia in mouse models of PDAC, while rescuing this pathway mitigates anti-tumor effects observed with chemotherapy and high glucose.","Cell Culture, CRISPR, RT-qPCR, RNA Sequencing, Immunohistochemistry Staining Method",,Pancreas,GSE194369,Open Access,Pancreatic Ductal Adenocarcinoma,,,37380658
PublicationView,CA264583,10.1016/j.cels.2023.03.008,Cell Syst,37164011,https://pubmed.ncbi.nlm.nih.gov/37164011,Deciphering tumor ecosystems at super resolution from spatial transcriptomics with TESLA,2023,"Tumor Microenvironment, Tumor-infiltrating Lymphocytes, Super-resolution, Tertiary Lymphoid Structures, Tumor Edge, Spatial Transcriptomics, Tumor Core","Jian Hu, Kyle Coleman, Daiwei Zhang, Edward B Lee, Humam Kadara, Linghua Wang, Mingyao Li","Cell populations in the tumor microenvironment (TME), including their abundance, composition, and spatial location, are critical determinants of patient response to therapy. Recent advances in spatial transcriptomics (ST) have enabled the comprehensive characterization of gene expression in the TME. However, popular ST platforms, such as Visium, only measure expression in low-resolution spots and have large tissue areas that are not covered by any spots, which limits their usefulness in studying the detailed structure of TME. Here, we present TESLA, a machine learning framework for tissue annotation with pixel-level resolution in ST. TESLA integrates histological information with gene expression to annotate heterogeneous immune and tumor cells directly on the histology image. TESLA further detects unique TME features such as tertiary lymphoid structures, which represents a promising avenue for understanding the spatial architecture of the TME. Although we mainly illustrated the applications in cancer, TESLA can also be applied to other diseases.","Image Analysis, Computational Tool",,Not Applicable,"GSE175540, GSE72056, GSE144240",Open Access,,,https://github.com/jianhuupenn/TESLA,37164011
PublicationView,CA210184,10.1038/s41467-023-39178-x,Nat Commun,37316535,https://pubmed.ncbi.nlm.nih.gov/37316535,Isolation of full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of Escherichia coli,2023,,"Michael-Paul Robinson, Jinjoo Jung, Natalia Lopez-Barbosa, Matthew Chang, Mingji Li, Thapakorn Jaroentomeechai, Emily C Cox, Xiaolu Zheng, Mehmet Berkmen, Matthew P DeLisa","Here we describe a facile and robust genetic selection for isolating full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of redox-engineered Escherichia coli cells. The method is based on the transport of a bifunctional substrate comprised of an antigen fused to chloramphenicol acetyltransferase, which allows positive selection of bacterial cells co-expressing cytoplasmic IgGs called cyclonals that specifically capture the chimeric antigen and sequester the antibiotic resistance marker in the cytoplasm. The utility of this approach is first demonstrated by isolating affinity-matured cyclonal variants that specifically bind their cognate antigen, the leucine zipper domain of a yeast transcriptional activator, with subnanomolar affinities, which represent a ~20-fold improvement over the parental IgG. We then use the genetic assay to discover antigen-specific cyclonals from a naïve human antibody repertoire, leading to the identification of lead IgG candidates with affinity and specificity for an influenza hemagglutinin-derived peptide antigen.","Plasmid Construction, ELISA",,Not Applicable,Not Applicable,Open Access,Not Applicable,,,37316535
PublicationView,CA193461,10.1093/neuonc/noac253,Neuro Oncol,36402744,https://pubmed.ncbi.nlm.nih.gov/36402744,Phase I study of a novel glioblastoma radiation therapy schedule exploiting cell-state plasticity,2023,"Glioblastoma, Clinical Trial, Radiation Oncology, Mathematical Modeling, Cell-state Plasticity","Jamie A Dean, Shyam K Tanguturi, Daniel Cagney, Kee-Young Shin, Gilbert Youssef, Ayal Aizer, Rifaquat Rahman, Lubna Hammoudeh, David Reardon, Eudocia Lee, Jorg Dietrich, Kaoru Tamura, Masaru Aoyagi, Lacey Wickersham, Patrick Y Wen, Paul Catalano, Daphne Haas-Kogan, Brian M Alexander, Franziska Michor","Background: Glioblastomas comprise heterogeneous cell populations with dynamic, bidirectional plasticity between treatment-resistant stem-like and treatment-sensitive differentiated states, with treatment influencing this process. However, current treatment protocols do not account for this plasticity. Previously, we generated a mathematical model based on preclinical experiments to describe this process and optimize a radiation therapy fractionation schedule that substantially increased survival relative to standard fractionation in a murine glioblastoma model. Methods: We developed statistical models to predict the survival benefit of interventions to glioblastoma patients based on the corresponding survival benefit in the mouse model used in our preclinical study. We applied our mathematical model of glioblastoma radiation response to optimize a radiation therapy fractionation schedule for patients undergoing re-irradiation for glioblastoma and developed a first-in-human trial (NCT03557372) to assess the feasibility and safety of administering our schedule. Results: Our statistical modeling predicted that the hazard ratio when comparing our novel radiation schedule with a standard schedule would be 0.74. Our mathematical modeling suggested that a practical, near-optimal schedule for re-irradiation of recurrent glioblastoma patients was 3.96 Gy × 7 (1 fraction/day) followed by 1.0 Gy × 9 (3 fractions/day). Our optimized schedule was successfully administered to 14/14 (100%) patients. Conclusions: A novel radiation therapy schedule based on mathematical modeling of cell-state plasticity is feasible and safe to administer to glioblastoma patients.",Mathematical Modeling,,Brain,Not Applicable,Open Access,Glioblastoma,,,36402744
PublicationView,"CA253553, CA210181",10.1038/s41419-023-05834-9,Cell Death Dis,37169743,https://pubmed.ncbi.nlm.nih.gov/37169743,Interferon-gamma is quintessential for NOS2 and COX2 expression in ER<sup>-</sup> breast tumors that lead to poor outcome,2023,,"Robert Y S Cheng, Lisa A Ridnour, Adelaide L Wink, Ana L Gonzalez, Elise L Femino, Helene Rittscher, Veena Somasundaram, William F Heinz, Leandro Coutinho, M Cristina Rangel, Elijah F Edmondson, Donna Butcher, Robert J Kinders, Xiaoxian Li, Stephen T C Wong, Daniel W McVicar, Stephen K Anderson, Milind Pore, Stephen M Hewitt, Timothy R Billiar, Sharon A Glynn, Jenny C Chang, Stephen J Lockett, Stefan Ambs, David A Wink","A strong correlation between NOS2 and COX2 tumor expression and poor clinical outcomes in ER breast cancer has been established. However, the mechanisms of tumor induction of these enzymes are unclear. Analysis of The Cancer Genome Atlas (TCGA) revealed correlations between NOS2 and COX2 expression and Th1 cytokines. Herein, single-cell RNAseq analysis of TNBC cells shows potent NOS2 and COX2 induction by IFNγ combined with IL1β or TNFα. Given that IFNγ is secreted by cytolytic lymphocytes, which improve clinical outcomes, this role of IFNγ presents a dichotomy. To explore this conundrum, tumor NOS2, COX2, and CD8<sup>+</sup> T cells were spatially analyzed in aggressive ER-, TNBC, and HER2 + breast tumors. High expression and clustering of NOS2-expressing tumor cells occurred at the tumor/stroma interface in the presence of stroma-restricted CD8<sup>+</sup> T cells. High expression and clustering of COX2-expressing tumor cells extended into immune desert regions in the tumor core where CD8<sup>+</sup> T cell penetration was limited or absent. Moreover, high NOS2-expressing tumor cells were proximal to areas with increased satellitosis, suggestive of cell clusters with a higher metastatic potential. Further in vitro experiments revealed that IFNγ + IL1β/TNFα increased the elongation and migration of treated tumor cells. This spatial analysis of the tumor microenvironment provides important insight into distinct neighborhoods where stroma-restricted CD8<sup>+</sup> T cells exist proximal to NOS2-expressing tumor niches that could have increased metastatic potential.","Cell Culture, Scratch Assay, Invasion Assay, Single Cell RNA-Sequencing, Immunohistochemistry Staining Method",,Breast,Not Applicable,Open Access,"Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",,,37169743
PublicationView,CA217376,10.1038/s41467-023-37879-x,Nat Commun,37100774,https://pubmed.ncbi.nlm.nih.gov/37100774,Bridging clinic and wildlife care with AI-powered pan-species computational pathology,2023,,"Khalid AbdulJabbar, Simon P Castillo, Katherine Hughes, Hannah Davidson, Amy M Boddy, Lisa M Abegglen, Lucia Minoli, Selina Iussich, Elizabeth P Murchison, Trevor A Graham, Simon Spiro, Carlo C Maley, Luca Aresu, Chiara Palmieri, Yinyin Yuan","Cancers occur across species. Understanding what is consistent and varies across species can provide new insights into cancer initiation and evolution, with significant implications for animal welfare and wildlife conservation. We build a pan-species cancer digital pathology atlas (panspecies.ai) and conduct a pan-species study of computational comparative pathology using a supervised convolutional neural network algorithm trained on human samples. The artificial intelligence algorithm achieves high accuracy in measuring immune response through single-cell classification for two transmissible cancers (canine transmissible venereal tumour, 0.94; Tasmanian devil facial tumour disease, 0.88). In 18 other vertebrate species (mammalia = 11, reptilia = 4, aves = 2, and amphibia = 1), accuracy (range 0.57-0.94) is influenced by cell morphological similarity preserved across different taxonomic groups, tumour sites, and variations in the immune compartment. Furthermore, a spatial immune score based on artificial intelligence and spatial statistics is associated with prognosis in canine melanoma and prostate tumours. A metric, named morphospace overlap, is developed to guide veterinary pathologists towards rational deployment of this technology on new samples. This study provides the foundation and guidelines for transferring artificial intelligence technologies to veterinary pathology based on understanding of morphological conservation, which could vastly accelerate developments in veterinary medicine and comparative oncology.",Computational Modeling,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,37100774
PublicationView,CA261717,10.1530/erc-22-0015,Endocr Relat Cancer,36165930,https://pubmed.ncbi.nlm.nih.gov/36165930,Exploratory genomic analysis of high-grade neuroendocrine neoplasms across diverse primary sites,2022,"Sequencing, APC, Genomics, CDK4, Cell cycling, Rb1, Neuroendocrine Carcinoma, Neuroendocrine Tumor, Tp53, High Grade, Cdkn2a, Neuroendocrine Neoplasm, Grade 3, Tumor Mutation Burden","Thomas Yang Sun, Lan Zhao, Paul Van Hummelen, Brock Martin, Kathleen Hornbacker, HoJoon Lee, Li C Xia, Sukhmani K Padda, Hanlee P Ji, Pamela Kunz","High-grade (grade 3) neuroendocrine neoplasms (G3 NENs) have poor survival outcomes. From a clinical standpoint, G3 NENs are usually grouped regardless of primary site and treated similarly. Little is known regarding the underlying genomics of these rare tumors, especially when compared across different primary sites. We performed whole transcriptome (n = 46), whole exome (n = 40), and gene copy number (n = 43) sequencing on G3 NEN formalin-fixed, paraffin-embedded samples from diverse organs (in total, 17 were lung, 16 were gastroenteropancreatic, and 13 other). G3 NENs despite arising from diverse primary sites did not have gene expression profiles that were easily segregated by organ of origin. Across all G3 NENs, TP53, APC, RB1, and CDKN2A were significantly mutated. The CDK4/6 cell cycling pathway was mutated in 95% of cases, with upregulation of oncogenes within this pathway. G3 NENs had high tumor mutation burden (mean 7.09 mutations/MB), with 20% having >10 mutations/MB. Two somatic copy number alterations were significantly associated with worse prognosis across tissue types: focal deletion 22q13.31 (HR, 7.82; P = 0.034) and arm amplification 19q (HR, 4.82; P = 0.032). This study is among the most diverse genomic study of high-grade neuroendocrine neoplasms. We uncovered genomic features previously unrecognized for this rapidly fatal and rare cancer type that could have potential prognostic and therapeutic implications.","Whole Exome Sequencing, Whole Genome Sequencing, RNA Sequencing, Immunohistochemistry Staining Method",,Not Applicable,Not Applicable,Open Access, Neuroendocrine Neoplasm,,,36165930
PublicationView,CA253540,10.1038/s41598-023-37238-2,Sci Rep,37369672,https://pubmed.ncbi.nlm.nih.gov/37369672,Comparing mechanism-based and machine learning models for predicting the effects of glucose accessibility on tumor cell proliferation,2023,,"Jianchen Yang, Jack Virostko, Junyan Liu, Angela M Jarrett, David A Hormuth, Thomas E Yankeelov","Glucose plays a central role in tumor metabolism and development and is a target for novel therapeutics. To characterize the response of cancer cells to blockade of glucose uptake, we collected time-resolved microscopy data to track the growth of MDA-MB-231 breast cancer cells. We then developed a mechanism-based, mathematical model to predict how a glucose transporter (GLUT1) inhibitor (Cytochalasin B) influences the growth of the MDA-MB-231 cells by limiting access to glucose. The model includes a parameter describing dose dependent inhibition to quantify both the total glucose level in the system and the glucose level accessible to the tumor cells. Four common machine learning models were also used to predict tumor cell growth. Both the mechanism-based and machine learning models were trained and validated, and the prediction error was evaluated by the coefficient of determination (R<sup>2</sup>). The random forest model provided the highest accuracy predicting cell dynamics (R<sup>2</sup> = 0.92), followed by the decision tree (R<sup>2</sup> = 0.89), k-nearest-neighbor regression (R<sup>2</sup> = 0.84), mechanism-based (R<sup>2</sup> = 0.77), and linear regression model (R<sup>2</sup> = 0.69). Thus, the mechanism-based model has a predictive capability comparable to machine learning models with the added benefit of elucidating biological mechanisms.","Cell Culture, Imaging, Mathematical Modeling, Computational Modeling",,Breast,Not Applicable,Open Access,"Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",,,37369672
PublicationView,CA210180,10.1038/s42003-023-05035-2,Commun Biol,37340056,https://pubmed.ncbi.nlm.nih.gov/37340056,Blood-brain barrier disruption defines the extracellular metabolome of live human high-grade gliomas,2023,,"Cecile Riviere-Cazaux, Lucas P Carlstrom, Karishma Rajani, Amanda Munoz-Casabella, Masum Rahman, Ali Gharibi-Loron, Desmond A Brown, Kai J Miller, Jaclyn J White, Benjamin T Himes, Ignacio Jusue-Torres, Samar Ikram, Seth C Ransom, Renee Hirte, Ju-Hee Oh, William F Elmquist, Jann N Sarkaria, Rachael A Vaubel, Moses Rodriguez, Arthur E Warrington, Sani H Kizilbash, Terry C Burns","The extracellular microenvironment modulates glioma behaviour. It remains unknown if blood-brain barrier disruption merely reflects or functionally supports glioma aggressiveness. We utilised intra-operative microdialysis to sample the extracellular metabolome of radiographically diverse regions of gliomas and evaluated the global extracellular metabolome via ultra-performance liquid chromatography tandem mass spectrometry. Among 162 named metabolites, guanidinoacetate (GAA) was 126.32x higher in enhancing tumour than in adjacent brain. 48 additional metabolites were 2.05-10.18x more abundant in enhancing tumour than brain. With exception of GAA, and 2-hydroxyglutarate in IDH-mutant gliomas, differences between non-enhancing tumour and brain microdialysate were modest and less consistent. The enhancing, but not the non-enhancing glioma metabolome, was significantly enriched for plasma-associated metabolites largely comprising amino acids and carnitines. Our findings suggest that metabolite diffusion through a disrupted blood-brain barrier may largely define the enhancing extracellular glioma metabolome. Future studies will determine how the altered extracellular metabolome impacts glioma behaviour.","Liquid Chromatography Mass Spectrometry, Gene Set Enrichment Analysis",,Brain,Not Applicable,Open Access,"Glioblastoma, Glioma",,,37340056
PublicationView,CA268069,10.1117/1.jbo.28.6.066502,J Biomed Opt,37351197,https://pubmed.ncbi.nlm.nih.gov/37351197,Light-sheet autofluorescence lifetime imaging with a single-photon avalanche diode array,2023,"Autofluorescence, Fluorescence Lifetime Imaging Microscopy, Single-photon Avalanche Diode, Light-sheet Microscopy, Nicotinamide Adenine Dinucleotide (Phosphate)","Kayvan Samimi, Danielle E Desa, Wei Lin, Kurt Weiss, Joe Li, Jan Huisken, Veronika Miskolci, Anna Huttenlocher, Jenu V Chacko, Andreas Velten, Jeremy D Rogers, Kevin W Eliceiri, Melissa C Skala","Significance: Fluorescence lifetime imaging microscopy (FLIM) of the metabolic co-enzyme nicotinamide adenine dinucleotide (phosphate) [NAD(P)H] is a popular method to monitor single-cell metabolism within unperturbed, living 3D systems. However, FLIM of NAD(P)H has not been performed in a light-sheet geometry, which is advantageous for rapid imaging of cells within live 3D samples. Aim: We aim to design, validate, and demonstrate a proof-of-concept light-sheet system for NAD(P)H FLIM. Approach: A single-photon avalanche diode camera was integrated into a light-sheet microscope to achieve optical sectioning and limit out-of-focus contributions for NAD(P)H FLIM of single cells. Results: An NAD(P)H light-sheet FLIM system was built and validated with fluorescence lifetime standards and with time-course imaging of metabolic perturbations in pancreas cancer cells with 10 s integration times. NAD(P)H light-sheet FLIM <i>in vivo</i> was demonstrated with live neutrophil imaging in a larval zebrafish tail wound also with 10 s integration times. Finally, the theoretical and practical imaging speeds for NAD(P)H FLIM were compared across laser scanning and light-sheet geometries, indicating a 30× to 6× acquisition speed advantage for the light sheet compared to the laser scanning geometry. Conclusions: FLIM of NAD(P)H is feasible in a light-sheet geometry and is attractive for 3D live cell imaging applications, such as monitoring immune cell metabolism and migration within an organism.",Fluorescence Lifetime Imaging Microscopy,,Pancreas,Not Applicable,Open Access,Pancreatic Carcinoma,,,37351197
PublicationView,CA224044,10.1038/s41388-021-02118-4,Oncogene,34802033,https://pubmed.ncbi.nlm.nih.gov/34802033,Prognostic and therapeutic significance of COP9 signalosome subunit CSN5 in prostate cancer,2022,,"Ying Z Mazzu, Yu-Rou Liao, Subhiksha Nandakumar, Lina E Jehane, Richard P Koche, Sai Harisha Rajanala, Ruifang Li, HuiYong Zhao, Travis A Gerke, Goutam Chakraborty, Gwo-Shu Mary Lee, Gouri J Nanjangud, Anuradha Gopalan, Yu Chen, Philip W Kantoff","Chromosome 8q gain is associated with poor clinical outcomes in prostate cancer, but the underlying biological mechanisms remain to be clarified. CSN5, a putative androgen receptor (AR) partner that is located on chromosome 8q, is the key subunit of the COP9 signalosome, which deactivates ubiquitin ligases. Deregulation of CSN5 could affect diverse cellular functions that contribute to tumor development, but there has been no comprehensive study of its function in prostate cancer. The clinical significance of CSN5 amplification/overexpression was evaluated in 16 prostate cancer clinical cohorts. Its oncogenic activity was assessed by genetic and pharmacologic perturbations of CSN5 activity in prostate cancer cell lines. The molecular mechanisms of CSN5 function were assessed, as was the efficacy of the CSN5 inhibitor CSN5i-3 in vitro and in vivo. Finally, the transcription cofactor activity of CSN5 in prostate cancer cells was determined. The prognostic significance of CSN5 amplification and overexpression in prostate cancer was independent of MYC amplification. Inhibition of CSN5 inhibited its oncogenic function by targeting AR signaling, DNA repair, multiple oncogenic pathways, and spliceosome regulation. Furthermore, inhibition of CSN5 repressed metabolic pathways, including oxidative phosphorylation and glycolysis in AR-negative prostate cancer cells. Targeting CSN5 with CSN5i-3 showed potent antitumor activity in vitro and in vivo. Importantly, CSN5i-3 synergizes with PARP inhibitors to inhibit prostate cancer cell growth. CSN5 functions as a transcription cofactor to cooperate with multiple transcription factors in prostate cancer. Inhibiting CSN5 strongly attenuates prostate cancer progression and could enhance PARP inhibition efficacy in the treatment of prostate cancer.","Cell Culture, CUT&Tag-Sequencing, RNA Sequencing, Xenograft",,Prostate Gland,"GSE173469, GSE173466, GSE173467",Open Access,Prostate Adenocarcinoma,,,34802033
PublicationView,CA263001,10.3390/cancers14235858,Cancers (Basel),36497341,https://pubmed.ncbi.nlm.nih.gov/36497341,Epigenetic Mechanisms Underlying Melanoma Resistance to Immune and Targeted Therapies,2022,"Melanoma, Epigenetics, Phenotype Switching, Therapy Resistance, Viral Mimicry","Andrey Rubanov, Pietro Berico, Eva Hernando","Melanoma is an aggressive skin cancer reliant on early detection for high likelihood of successful treatment. Solar UV exposure transforms melanocytes into highly mutated tumor cells that metastasize to the liver, lungs, and brain. Even upon resection of the primary tumor, almost thirty percent of patients succumb to melanoma within twenty years. Identification of key melanoma genetic drivers led to the development of pharmacological BRAF<sup>V600E</sup> and MEK inhibitors, significantly improving metastatic patient outcomes over traditional cytotoxic chemotherapy or pioneering IFN-α and IL-2 immune therapies. Checkpoint blockade inhibitors releasing the immunosuppressive effects of CTLA-4 or PD-1 proved to be even more effective and are the standard first-line treatment. Despite these major improvements, durable responses to immunotherapy and targeted therapy have been hindered by intrinsic or acquired resistance. In addition to gained or selected genetic alterations, cellular plasticity conferred by epigenetic reprogramming is emerging as a driver of therapy resistance. Epigenetic regulation of chromatin accessibility drives gene expression and establishes distinct transcriptional cell states. Here we review how aberrant chromatin, transcriptional, and epigenetic regulation contribute to therapy resistance and discuss how targeting these programs sensitizes melanoma cells to immune and targeted therapies.",Immunotherapy,,Not Applicable,Not Applicable,Open Access,Melanoma,,,36497341
PublicationView,CA250044,10.1016/j.isci.2022.104721,iScience,35865140,https://pubmed.ncbi.nlm.nih.gov/35865140,Data driven and biophysical insights into the regulation of trafficking vesicles by extracellular matrix stiffness,2022,"Cancer, Biophysics, immunology, Mathematical Biosciences, Biocomputational Method","Kshitiz Parihar, Jonathan Nukpezah, Daniel V Iwamoto, Paul A Janmey, Ravi Radhakrishnan","Biomechanical signals from remodeled extracellular matrix (ECM) promote tumor progression. Here, we show that cell-matrix and cell-cell communication may be inherently linked and tuned through mechanisms of mechanosensitive biogenesis of trafficking vesicles. Pan-cancer analysis of cancer cells' mechanical properties (focusing primarily on cell stiffness) on substrates of varied stiffness and composition elucidated a heterogeneous cellular response to mechanical stimuli. Through machine learning, we identified a fingerprint of cytoskeleton-related proteins that accurately characterize cell stiffness in different ECM conditions. Expression of their respective genes correlates with patient prognosis across different tumor types. The levels of selected cytoskeleton proteins indicated that cortical tension mirrors the increase (or decrease) in cell stiffness with a change in ECM stiffness. A mechanistic biophysical model shows that the tendency for curvature generation by curvature-inducing proteins has an ultrasensitive dependence on cortical tension. This study thus highlights the effect of ECM stiffness, mediated by cortical tension, in modulating vesicle biogenesis.",RNA Sequencing,,Not Applicable,syn7248578,Open Access,Pan-cancer,,,35865140
